193,Burnley,5-3-2,Everton,3-4-2-1,1,5,2018/19,Premier League
194,Crystal Palace,4-4-2,Cardiff City,5-4-1,0,0,2018/19,Premier League
195,Leicester City,4-3-3,Manchester City,4-3-3,2,1,2018/19,Premier League
196,Liverpool,4-2-3-1,Newcastle United,5-3-2,4,0,2018/19,Premier League
197,Manchester United,4-2-3-1,Huddersfield Town,4-2-3-1,3,1,2018/19,Premier League
198,Tottenham Hotspur,4-2-3-1,AFC Bournemouth,4-1-4-1,5,0,2018/19,Premier League
199,Brighton and Hove Albion,4-5-1,Arsenal,4-1-2-1-2,1,1,2018/19,Premier League
200,Watford,4-2-2-2,Chelsea,4-3-3,1,2,2018/19,Premier League
201,Everton,4-2-3-1,Tottenham Hotspur,4-1-2-1-2,2,6,2018/19,Premier League
202,Arsenal,4-3-1-2,Burnley,5-3-2,3,1,2018/19,Premier League
203,AFC Bournemouth,4-4-2,Brighton and Hove Albion,4-1-4-1,2,0,2018/19,Premier League
204,Chelsea,4-3-3,Leicester City,4-3-3,0,1,2018/19,Premier League
205,Huddersfield Town,3-4-1-2,Southampton,3-4-2-1,1,3,2018/19,Premier League
206,Manchester City,4-3-3,Crystal Palace,4-5-1,2,3,2018/19,Premier League
207,Newcastle United,5-4-1,Fulham,3-4-3,0,0,2018/19,Premier League
208,West Ham United,4-4-2,Watford,4-2-2-2,0,2,2018/19,Premier League
209,Cardiff City,4-1-4-1,Manchester United,4-3-3,1,5,2018/19,Premier League
210,Wolverhampton Wanderers,3-4-1-2,Liverpool,4-2-3-1,0,2,2018/19,Premier League
211,Brighton and Hove Albion,4-4-1-1,Chelsea,4-3-3,1,2,2018/19,Premier League
212,Southampton,3-4-2-1,Arsenal,3-4-3,3,2,2018/19,Premier League
213,Liverpool,4-4-1-1,Manchester United,4-4-1-1,3,1,2018/19,Premier League
214,Manchester City,4-3-3,Everton,5-4-1,3,1,2018/19,Premier League
215,Crystal Palace,4-4-2,Leicester City,4-2-3-1,1,0,2018/19,Premier League
216,Huddersfield Town,3-5-1-1,Newcastle United,3-5-1-1,0,1,2018/19,Premier League
217,Tottenham Hotspur,4-2-3-1,Burnley,5-4-1,1,0,2018/19,Premier League
218,Watford,4-2-2-2,Cardiff City,4-1-4-1,3,2,2018/19,Premier League
219,Wolverhampton Wanderers,3-4-1-2,AFC Bournemouth,3-4-2-1,2,0,2018/19,Premier League
220,Fulham,4-4-2,West Ham United,4-4-2,0,2,2018/19,Premier League
221,Everton,4-2-3-1,Watford,4-2-2-2,2,2,2018/19,Premier League
222,Newcastle United,3-5-1-1,Wolverhampton Wanderers,3-4-3,1,2,2018/19,Premier League
223,AFC Bournemouth,4-4-2,Liverpool,4-4-2,0,4,2018/19,Premier League
224,Arsenal,3-1-4-2,Huddersfield Town,4-2-3-1,1,0,2018/19,Premier League
225,Burnley,4-4-2,Brighton and Hove Albion,4-3-3,1,0,2018/19,Premier League
226,Cardiff City,4-1-4-1,Southampton,4-3-2-1,1,0,2018/19,Premier League
227,Manchester United,4-2-3-1,Fulham,4-2-3-1,4,1,2018/19,Premier League
